Sexyred,ESTP
Shakira,ESTP
Shannade (The Clermont Twins),ESTP
Stephen Belafonte,ESTP
Stephen Curry,ESTP
Tom Macdonald,ESTP
Travis Maldonado,ESTP
Winter Blanco,ESTP
Abigail Spencer,ENTJ
Adele,ENTJ
Alice Levine,ENTJ
Amy Schumer,ENTJ
Anna Kendrick,ENTJ
Axel Bernabe,ENTJ
Beck Hansen,ENTJ
Belle Delphine,ENTJ
Bob Iger,ENTJ
Boris Johnson,ENTJ
Brad Lea,ENTJ
Cam'ron,ENTJ
Candace Owens,ENTJ
Cara Delevingne,ENTJ
Carrie Ann-Moss,ENTJ
Cate Blanchett,ENTJ
Chiara Ferragni,ENTJ
Christopher Nolan,ENTJ
Cleo Abram,ENTJ
Dan Bilzerian,ENTJ,UDUF
David Lynch,ENTJ
Deborah Ann Woll,ENTJ
Desiree Akhavan,ENTJ
Diane Keaton,ENTJ
Donald Trump,ENTJ
Donna Brazile,ENTJ
Dreamdoll,ENTJ
Elizabeth Banks,ENTJ
Esther Perel,ENTJ
Ethan Klein,ENTJ
Evan Rachel Wood,ENTJ
Frank Darabont,ENTJ
George Lucas,ENTJ
Gillian Anderson,ENTJ
Gordon Ramsey,ENTJ
Graham Stephan,ENTJ
Gwendolin Christie,ENTJ
Hans Zimmer,ENTJ
Heath Dubrow,ENTJ
Jamie Oliver,ENTJ
Jessica Simpson,ENTJ
Jonathan Scott,ENTJ
Karrine Steffans,ENTJ
Kate Middleton,ENTJ
Kris Jenner,ENTJ
Kylie Jenner,ENTJ
Lady Gaga,ENTJ
Lil Nas X,ENTJ
Lucille Ball,ENTJ
Meagan Good,ENTJ
Mel B,ENTJ
Meryl Streep,ENTJ
Michael Bay,ENTJ
Mira Sorvino,ENTJ
Oliver Tree,ENTJ
Patrick Bet David,ENTJ
Peter Thiel,ENTJ
Ray Dalio,ENTJ
Rebecca Ferguson,ENTJ
Reggie Fils-Aime,ENTJ
Rian Johnson,ENTJ
Sabrina Claudio,ENTJ
Shannon (The Clermont Twins),ENTJ
SheraSeven,ENTJ
Sigourney Weaver,ENTJ
Steve Ballmer,ENTJ
Suze Orman,ENTJ
Tim Cook,ENTJ
Tristan Tate,ENTJ
Wes Borland,ENTJ
Amanda Bynes,ENFJ
Bill Russell,ENFJ
Brene Brown,ENFJ
Britney Spears,ENFJ
Captain Paul Watson,ENFJ
Carole Baskin,ENFJ
Dalai Lama,ENFJ
David Blaine,ENFJ
Delilah Rene,ENFJ
Hilary Duff,ENFJ
Jeremy Clarkson,ENFJ
Keir Starmer,ENFJ
Kelly Clarkson,ENFJ
Mariah the Scientist,ENFJ
Martin Luther King Jr.,ENFJ
Neil deGrasse Tyson,ENFJ
Nelson Mandela,ENFJ
Normani,ENFJ
Olivia Rodrigo,ENFJ
Pamala Adlon,ENFJ
Pele,ENFJ
Ray Lewis,ENFJ
Rob Lowe,ENFJ
Robbie Williams,ENFJ
Rosario Dawson,ENFJ
Roseanne Barr,ENFJ
Shah Rukh Khan,ENFJ
Steve Harvey,ENFJ
Steven Gerrard,ENFJ
Thomas Sowell,ENFJ
Aamir Khan,ESFJ
Andrew Scott,ESFJ
Andy Kaufman,ESFJ
Arno Wingen,ESFJ
Austin (The ACE Family),ESFJ
Beau Mirchoff,ESFJ
Ben Affleck,ESFJ
Ben Stiller,ESFJ
Big Ed,ESFJ
Brian Rose,ESFJ
Chelsea Clinton,ESFJ
Chris Broad,ESFJ
Chris Bumstead,ESFJ
Crispin Glover,ESFJ
Diane Bish,ESFJ
Dolly Parton,ESFJ
Donna Tartt,ESFJ
Gary Keller,ESFJ
George W. Bush,ESFJ
Glennon Doyle,ESFJ
Jeff Nippard,ESFJ
Kelly Rowland,ESFJ
Lauren Teel,ESFJ
Leo Buscaglia,ESFJ
Leslie Abramson,ESFJ
Mahalia Burkmar,ESFJ
Maia Mitchell,ESFJ
Matty Mullins,ESFJ
Morgan Freeman,ESFJ
Oprah Winfrey,ESFJ
Panos Panay,ESFJ
Paula Abdul,ESFJ
Peter Cullen,ESFJ
Prince Harry, Duke of Sussex,ESFJ
RJ Mitte,ESFJ
Rachel Lapelosa,ESFJ
Rafael Nadal,ESFJ
Rick Beato,ESFJ
Ryan Braun,ESFJ
Saun Deeb,ESFJ
Scooter Braun,ESFJ
Thomas Sanders,ESFJ
Usher,ESFJ
Adam Lambert,ESFP
Alexandria Ocasio-Cortez,ESFP
Alexia Demie,ESFP
Ant McPartlin,ESFP
Arin Hanson,ESFP
Aubrey O’day,ESFP
Azriel Clary,ESFP
Barrett Pall,ESFP
Bazzi (Andrew Bazzi),ESFP
Billy Gene,ESFP
Bobby Lee,ESFP
Bobby Schmurda,ESFP
Brian Wilson,ESFP
C418,ESFP
Cardi B,ESFP
